blocksize,UnencryptedReadTime_secs,EncryptedReadTime_secs,UnencryptedWriteTime_secs,EncryptedWriteTime_secs
1_gb,0.77,4.03,1.83,13.50
10_gb,4.83,40.29,17.16,133.38

